Nasdaq Traded,Symbol,Company Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Symbol_Clean,Sector,source,confidence
Y,QRVO,"Qorvo, Inc. - Common Stock",Q,Q,N,100.0,N,N,,QRVO,N,QRVO,Technology,Nasdaq,100.0
Y,QSR,Restaurant Brands International Inc. Common Shares,N, ,N,100.0,N,,QSR,QSR,N,QSR,Consumer Discretionary,Nasdaq,100.0
Y,QTNT,Quotient Limited - Ordinary Shares,Q,G,N,100.0,N,N,,QTNT,N,QTNT,Healthcare,Wikipedia-High,31.0
Y,QTRX,Quanterix Corporation - Common Stock,Q,G,N,100.0,N,N,,QTRX,N,QTRX,Industrials,Nasdaq,100.0
Y,QTS,"QTS Realty Trust, Inc. Class A Common Stock",N, ,N,100.0,N,,QTS,QTS,N,QTS,Real Estate,Name-Match,24.0
Y,QTT,Qutoutiao Inc. - American Depositary Shares,Q,Q,N,100.0,N,N,,QTT,N,QTT,Technology,AnnualReports-Success,48.0
Y,QTWO,"Q2 Holdings, Inc. Common Stock",N, ,N,100.0,N,,QTWO,QTWO,N,QTWO,Technology,Nasdaq,100.0
Y,QUAD,"Quad Graphics, Inc Class A Common Stock",N, ,N,100.0,N,,QUAD,QUAD,N,QUAD,Consumer Discretionary,Nasdaq,100.0
Y,QUIK,QuickLogic Corporation - Common Stock,Q,S,N,100.0,N,N,,QUIK,N,QUIK,Technology,Nasdaq,100.0
Y,QUMU,Qumu Corporation - Common Stock,Q,S,N,100.0,N,N,,QUMU,N,QUMU,Technology,AnnualReports-Success,15.0
Y,QUOT,Quotient Technology Inc. Common Stock,N, ,N,100.0,N,,QUOT,QUOT,N,QUOT,Technology,Name-Match,60.0
Y,QURE,uniQure N.V. - Ordinary Shares,Q,Q,N,100.0,N,N,,QURE,N,QURE,Health Care,Nasdaq,100.0
Y,R,"Ryder System, Inc. Common Stock",N, ,N,100.0,N,,R,R,N,R,Consumer Discretionary,Nasdaq,100.0
Y,RA,Brookfield Real Assets Income Fund Inc. Common Stock,N, ,N,100.0,N,,RA,RA,N,RA,Finance,Nasdaq,100.0
Y,RACE,Ferrari N.V. Common Shares,N, ,N,100.0,N,,RACE,RACE,N,RACE,Industrials,Nasdaq,100.0
Y,RAD,Rite Aid Corporation Common Stock,N, ,N,100.0,N,,RAD,RAD,N,RAD,Financial,Wikipedia-High,47.0
Y,RADA,RADA Electronic Industries Ltd. - Ordinary Shares,Q,S,N,100.0,N,N,,RADA,N,RADA,Technology,Wikipedia-High,32.5
Y,RAIL,"Freightcar America, Inc. - Common Stock",Q,Q,N,100.0,N,N,,RAIL,N,RAIL,Industrials,Nasdaq,100.0
Y,RAMP,"LiveRamp Holdings, Inc. Common Stock",N, ,N,100.0,N,,RAMP,RAMP,N,RAMP,Technology,Nasdaq,100.0
Y,RAND,Rand Capital Corporation - Common Stock ($0.10 Par Value),Q,S,N,100.0,N,N,,RAND,N,RAND,Finance,Nasdaq,100.0
Y,RAPT,"RAPT Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,RAPT,N,RAPT,Health Care,Nasdaq,100.0
Y,RARE,Ultragenyx Pharmaceutical Inc. - Common Stock,Q,Q,N,100.0,N,N,,RARE,N,RARE,Health Care,Nasdaq,100.0
Y,RARX,"Ra Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,N,,RARX,N,RARX,Healthcare,Name-Match,180.0
Y,RAVE,"Rave Restaurant Group, Inc. - Common Stock",Q,S,N,100.0,N,N,,RAVE,N,RAVE,Consumer Discretionary,Nasdaq,100.0
